DA_OA	DM_AF	DM_OA	JO_OF	JO_OA	KJ_OF	KJ_OA
-0.013644	-0.011517	-0.010649	-0.010733	-0.008569	-0.005173	-0.01055
-0.013572	-0.011611	-0.009582	-0.014643	-0.008013	-0.014942	-0.010039
-0.013729	-0.007046	-0.014518	-0.014599	-0.009701	-0.014378	-0.009642
-0.01368	-0.012099	-0.009312	-0.005334	-0.008379	-0.011488	-0.012667
-0.013599	-0.008516	-0.012078	-0.014359	-0.010306	-0.018298	-0.012333
-0.013549	-0.008712	-0.012105	-0.017521	-0.012899	-0.00996	-0.011318
-0.013449	-0.003409	-0.011851	-0.008498	-0.011129	-0.01699	-0.01217
-0.013729	-0.012895	-0.01352	-0.007114	-0.010869	-0.012772	-0.010129
-0.013485	-0.004832	-0.006091	-0.01328	-0.00346	-0.011134	-0.006482
-0.013511	-0.009078	-0.01204	-0.010676	-0.013062	-0.012762	-0.010758
-0.013796	-0.01231	-0.009744	-0.005963	-0.008833	-0.009532	-0.014857
-0.013926	-0.017177	-0.009888	-0.010426	-0.011669	-0.008431	-0.007668
-0.013725	-0.010415	-0.014066	-0.009627	-0.01031	-0.015233	-0.01095
-0.013541	-0.010907	-0.011323	-0.005864	-0.010622	-0.012964	-0.012429
-0.013759	-0.010679	-0.010503	-0.011657	-0.007715	-0.008958	-0.010585
-0.013592	-0.011748	-0.006903	-0.014006	-0.007935	-0.012502	-0.01142
-0.013509	-0.01011	-0.01193	-0.010346	-0.01221	-0.009955	-0.014397
-0.01349	-0.010107	-0.010394	-0.010974	-0.010964	-0.013072	-0.006759
-0.013661	-0.014699	-0.008214	-0.01513	-0.009813	-0.013763	-0.005738
-0.013788	-0.007197	-0.006897	-0.008329	-0.009309	-0.007475	-0.012889
-0.013199	-0.014162	-0.012989	-0.009985	-0.015277	-0.007377	-0.010172
-0.01363	-0.008681	-0.011237	-0.005257	-0.012512	-0.00699	-0.016325
-0.01348	-0.014202	-0.007776	-0.01051	-0.009704	-0.011085	-0.012198
-0.013571	-0.013022	-0.014999	-0.011567	-0.015856	-0.013199	-0.005373
-0.013495	-0.00968	-0.015392	-0.011397	-0.01504	-0.011869	-0.008471
-0.013406	-0.013397	-0.010675	-0.008165	-0.014721	-0.008243	-0.012437
-0.013466	-0.011975	-0.010114	-0.009629	-0.009961	-0.009721	-0.011207
-0.013104	-0.009289	-0.012369	-0.008986	-0.008501	-0.008297	-0.013755
-0.013408	-0.007243	-0.011911	-0.014243	-0.009822	-0.010175	-0.01429
-0.01323	-0.012484	-0.013665	-0.011375	-0.005761	-0.012135	-0.008576
-0.013407	-0.010977	-0.010672	-0.008917	-0.009289	-0.01504	-0.010211
-0.013481	-0.012251	-0.011291	-0.009985	-0.009027	-0.011177	-0.013463
-0.013289	-0.005719	-0.007583	-0.011626	-0.008308	-0.013401	-0.011818
-0.013371	-0.01071	-0.012367	-0.013362	-0.012898	-0.012933	-0.00995
-0.013365	-0.012822	-0.007523	-0.006295	-0.008437	-0.009946	-0.00979
-0.013039	-0.013987	-0.014612	-0.012646	-0.008692	-0.011276	-0.012579
-0.013165	-0.008406	-0.012981	-0.008797	-0.010658	-0.008912	-0.008439
-0.013314	-0.013988	-0.008375	-0.01466	-0.011464	-0.007431	-0.001544
-0.013248	-0.011201	-0.011777	-0.004307	-0.0106	-0.012948	-0.00845
-0.013173	-0.008748	-0.00927	-0.009995	-0.006411	-0.008738	-0.014954
-0.013181	-0.010293	-0.012215	-0.011234	-0.013246	-0.015624	-0.009316
-0.013385	-0.00821	-0.010383	-0.002648	-0.009375	-0.010211	-0.010596
-0.013443	-0.013211	-0.008812	-0.009578	-0.011354	-0.008162	-0.011189
-0.013318	-0.007503	-0.013869	-0.012012	-0.010053	-0.009476	-0.008729
-0.013335	-0.01213	-0.009954	-0.01816	-0.007836	-0.011377	-0.010068
-0.013358	-0.009559	-0.009267	-0.011398	-0.013654	-0.010019	-0.00925
-0.013241	-0.012782	-0.00974	-0.008293	-0.011042	-0.007731	-0.011656
-0.013488	-0.010666	-0.010861	-0.019231	-0.012872	-0.005653	-0.009515
-0.013341	-0.010283	-0.011966	-0.011377	-0.015274	-0.015438	-0.014795
-0.01333	-0.012384	-0.008525	-0.009484	-0.007663	-0.010218	-0.010154
-0.013362	-0.009572	-0.012156	-0.011294	-0.013246	-0.010513	-0.008706
-0.013059	-0.011507	-0.01345	-0.012586	-0.005367	-0.009316	-0.005659
-0.013263	-0.007903	-0.013673	-0.005533	-0.012913	-0.006964	-0.009604
